Source,Target
5,255
13,255
15,255
16,255
27,255
33,255
37,255
38,255
41,255
42,255
49,255
57,255
62,255
70,255
73,255
81,255
83,255
91,255
92,255
94,255
99,255
108,255
111,255
123,255
126,255
128,255
129,255
133,255
138,255
146,255
147,255
153,255
156,255
158,255
164,255
166,255
168,255
177,255
180,255
189,255
196,255
200,255
207,255
213,255
218,255
229,255
233,255
236,255
237,255
238,255
239,255
243,255
250,255
8,256
14,256
47,256
53,256
62,256
77,256
82,256
214,256
231,256
239,256
1,257
2,257
3,257
4,257
10,257
11,257
14,257
17,257
28,257
39,257
44,257
45,257
46,257
47,257
48,257
50,257
51,257
58,257
59,257
69,257
77,257
78,257
93,257
96,257
105,257
109,257
112,257
115,257
131,257
132,257
134,257
141,257
151,257
155,257
157,257
161,257
170,257
172,257
175,257
176,257
178,257
194,257
195,257
200,257
203,257
208,257
210,257
222,257
223,257
224,257
225,257
227,257
228,257
230,257
233,257
236,257
242,257
252,257
254,257
1,258
2,258
51,258
60,258
61,258
68,258
71,258
84,258
102,258
136,258
167,258
181,258
198,258
200,258
232,258
236,258
251,258
11,259
12,259
14,259
18,259
23,259
24,259
25,259
26,259
29,259
36,259
40,259
43,259
47,259
52,259
54,259
55,259
56,259
58,259
59,259
60,259
63,259
66,259
72,259
74,259
75,259
76,259
79,259
80,259
86,259
87,259
88,259
90,259
93,259
95,259
100,259
103,259
104,259
106,259
110,259
113,259
116,259
117,259
118,259
119,259
120,259
121,259
122,259
135,259
137,259
139,259
140,259
142,259
144,259
145,259
152,259
154,259
157,259
159,259
160,259
162,259
163,259
169,259
171,259
174,259
177,259
179,259
183,259
186,259
188,259
191,259
192,259
194,259
197,259
199,259
200,259
201,259
204,259
205,259
206,259
209,259
211,259
212,259
215,259
216,259
217,259
219,259
220,259
221,259
224,259
225,259
233,259
241,259
246,259
248,259
249,259
253,259
254,259
2,260
4,260
11,260
20,260
22,260
51,260
64,260
69,260
96,260
97,260
107,260
143,260
157,260
167,260
184,260
190,260
198,260
226,260
236,260
240,260
254,260
2,261
6,261
7,261
8,261
9,261
11,261
13,261
14,261
19,261
20,261
21,261
22,261
30,261
31,261
32,261
34,261
35,261
47,261
48,261
51,261
59,261
64,261
65,261
67,261
75,261
85,261
89,261
93,261
96,261
97,261
98,261
101,261
102,261
114,261
124,261
125,261
127,261
130,261
148,261
149,261
150,261
165,261
172,261
173,261
182,261
185,261
187,261
190,261
193,261
194,261
195,261
200,261
202,261
203,261
234,261
235,261
236,261
240,261
244,261
245,261
247,261
252,261
