ID,Name,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
1,Adams.John,0,0,1,1,0,0,0
2,Adams.Samuel,0,0,1,1,0,1,1
3,Allen.Dr,0,0,1,0,0,0,0
4,Appleton.Nathaniel,0,0,1,0,0,1,0
5,Ash.Gilbert,1,0,0,0,0,0,0
6,Austin.Benjamin,0,0,0,0,0,0,1
7,Austin.Samuel,0,0,0,0,0,0,1
8,Avery.John,0,1,0,0,0,0,1
9,Baldwin.Cyrus,0,0,0,0,0,0,1
10,Ballard.John,0,0,1,0,0,0,0
11,Barber.Nathaniel,0,0,1,0,1,1,1
12,Barnard.Samuel,0,0,0,0,1,0,0
13,Barrett.Samuel,1,0,0,0,0,0,1
14,Bass.Henry,0,1,1,0,1,0,1
15,Bell.William,1,0,0,0,0,0,0
16,Blake.Increase,1,0,0,0,0,0,0
17,Boit.John,0,0,1,0,0,0,0
18,Bolter.Thomas,0,0,0,0,1,0,0
19,Boyer.Peter,0,0,0,0,0,0,1
20,Boynton.Richard,0,0,0,0,0,1,1
21,Brackett.Jos,0,0,0,0,0,0,1
22,Bradford.John,0,0,0,0,0,1,1
23,Bradlee.David,0,0,0,0,1,0,0
24,Bradlee.Josiah,0,0,0,0,1,0,0
25,Bradlee.Nathaniel,0,0,0,0,1,0,0
26,Bradlee.Thomas,0,0,0,0,1,0,0
27,Bray.George,1,0,0,0,0,0,0
28,Breck.William,0,0,1,0,0,0,0
29,Bewer.James,0,0,0,0,1,0,0
30,Brimmer.Herman,0,0,0,0,0,0,1
31,Brimmer.Martin,0,0,0,0,0,0,1
32,Broomfield.Henry,0,0,0,0,0,0,1
33,Brown.Hugh,1,0,0,0,0,0,0
34,Brown.Enoch,0,0,0,0,0,0,1
35,Brown.John,0,0,0,0,0,0,1
36,Bruce.Stephen,0,0,0,0,1,0,0
37,Burbeck.Edward,1,0,0,0,0,0,0
38,Burbeck.William,1,0,0,0,0,0,0
39,Burt.Benjamin,0,0,1,0,0,0,0
40,Burton.Benjamin,0,0,0,0,1,0,0
41,Cailleteau.Edward,1,0,0,0,0,0,0
42,Callendar.Elisha,1,0,0,0,0,0,0
43,Campbell.Nicholas,0,0,0,0,1,0,0
44,Cazneau.Capt,0,0,1,0,0,0,0
45,Chadwell.Mr,0,0,1,0,0,0,0
46,Champney.Caleb,0,0,1,0,0,0,0
47,Chase.Thomas,0,1,1,0,1,0,1
48,Cheever.Ezekiel,0,0,1,0,0,0,1
49,Chipman.Seth,1,0,0,0,0,0,0
50,Chrysty.Thomas,0,0,1,0,0,0,0
51,Church.Benjamin,0,0,1,1,0,1,1
52,Clarke.Benjamin,0,0,0,0,1,0,0
53,Cleverly.Stephen,0,1,0,0,0,0,0
54,Cochran.John,0,0,0,0,1,0,0
55,Colesworthy.Gilbert,0,0,0,0,1,0,0
56,Collier.Gershom,0,0,0,0,1,0,0
57,Collins.Ezra,1,0,0,0,0,0,0
58,Collson.Adam,0,0,1,0,1,0,0
59,Condy.JamesFoster,0,0,1,0,1,0,1
60,Cooper.Samuel,0,0,0,1,1,0,0
61,Cooper.William,0,0,0,1,0,0,0
62,Crafts.Thomas,1,1,0,0,0,0,0
63,Crane.John,0,0,0,0,1,0,0
64,Davis.Caleb,0,0,0,0,0,1,1
65,Davis.Edward,0,0,0,0,0,0,1
66,Davis.Robert,0,0,0,0,1,0,0
67,Davis.William,0,0,0,0,0,0,1
68,Dawes.Thomas,0,0,0,1,0,0,0
69,Dennie.William,0,0,1,0,0,1,0
70,Deshon.Moses,1,0,0,0,0,0,0
71,Dexter.Samuel,0,0,0,1,0,0,0
72,Dolbear.Edward,0,0,0,0,1,0,0
73,Doyle.Peter,1,0,0,0,0,0,0
74,Eaton.Joseph,0,0,0,0,1,0,0
75,Eayres.Joseph,0,0,0,0,1,0,1
76,Eckley.Unknown,0,0,0,0,1,0,0
77,Edes.Benjamin,0,1,1,0,0,0,0
78,Emmes.Samuel,0,0,1,0,0,0,0
79,Etheridge.William,0,0,0,0,1,0,0
80,Fenno.Samuel,0,0,0,0,1,0,0
81,Ferrell.Ambrose,1,0,0,0,0,0,0
82,Field.Joseph,0,1,0,0,0,0,0
83,Flagg.Josiah,1,0,0,0,0,0,0
84,Fleet.Thomas,0,0,0,1,0,0,0
85,Foster.Bos,0,0,0,0,0,0,1
86,Foster.Samuel,0,0,0,0,1,0,0
87,Frothingham.Nathaniel,0,0,0,0,1,0,0
88,Gammell.John,0,0,0,0,1,0,0
89,Gill.Moses,0,0,0,0,0,0,1
90,Gore.Samuel,0,0,0,0,1,0,0
91,Gould.William,1,0,0,0,0,0,0
